variant,method,method_label,num_seeds,total_penalty_mean,total_penalty_std,queue_backlog_mean,queue_backlog_std,aoi_violation_mean,aoi_violation_std,uncertainty_violation_mean,uncertainty_violation_std,mean_virtual_aoi_queue_mean,mean_virtual_aoi_queue_std,mean_virtual_unc_queue_mean,mean_virtual_unc_queue_std,travel_distance_mean,travel_distance_std,solver_success_mean,solver_success_std,solver_nit_mean,solver_nit_std,runtime_ms_mean,runtime_ms_std,candidate_family_size_mean,candidate_family_size_std
V96_rho0p005_sl8,proposed_full,DCEE-V96_rho0p005_sl8,3,1.8966368475072104,0.06038663308076021,154.17867412749317,69.80640170959263,11.326666666666668,0.7640753307829742,1.9932091736992203,0.36043863876201754,518.6255555555556,36.58911136349685,82.34329798215454,12.337152051634249,7.603052428048812,0.41436870825162375,1.0,0.0,37.75666666666667,1.8643586922406692,119.09586466647549,6.847343252713938,7.053333333333334,0.030550504633039155
V96_rho0p0025_sl6,proposed_full,DCEE-V96_rho0p0025_sl6,3,1.898349349229787,0.060825282167404425,135.12023453814126,59.593251034274886,11.453333333333333,0.9529311505968187,2.0319309597106345,0.3166669784797262,527.798888888889,44.58791519550432,83.2091899442989,11.718853764117021,7.598595778809984,0.35860150566132615,1.0,0.0,37.13333333333333,2.8662228338587585,114.57825733343877,13.54214709110947,5.05,0.04358898943540682
V96_rho0p0025_sl4,proposed_full,DCEE-V96_rho0p0025_sl4,3,1.9007144470609443,0.07024405837964434,140.02565457118143,79.37518410803436,11.453333333333333,0.9529311505968187,2.025456865457255,0.3284668827330627,527.798888888889,44.58791519550432,82.7834699604028,12.089876224075804,7.419566828747178,0.28514579224176223,1.0,0.0,31.0,7.090310289402008,96.20404366663327,22.451518567510483,3.0500000000000003,0.043588989435406726
V96_rho0p005_sl6,proposed_full,DCEE-V96_rho0p005_sl6,3,1.9021345524296656,0.05143813546486739,144.99447550631058,64.31305614510369,11.326666666666668,0.7640753307829742,1.9945676174454288,0.36407507635769426,518.6255555555556,36.58911136349685,82.2905253230454,12.539353352448972,7.65677812113915,0.5722023567608692,1.0,0.0,34.59,3.5029844418723877,109.44757199991727,10.050100335880591,5.056666666666667,0.032145502536643514
V96_rho0p01_sl8,proposed_full,DCEE-V96_rho0p01_sl8,3,1.905161225314125,0.0548410319193876,132.17017522963428,49.52607947923718,11.326666666666668,0.7640753307829742,1.987332146347317,0.37473336181294703,518.6255555555556,36.58911136349685,82.37754505671593,12.939698331708959,7.753469238384501,0.8532093051009356,1.0,0.0,38.75333333333334,0.26312227829154416,128.87799299991457,3.67758663860933,7.026666666666666,0.05033222956847153
V96_rho0p01_sl4,proposed_full,DCEE-V96_rho0p01_sl4,3,1.9073294593659023,0.04998621097453189,154.98531122231353,78.82250754879088,11.453333333333333,0.9529311505968187,2.0084542472820845,0.3213301090508736,527.798888888889,44.58791519550432,82.49988522690673,11.99351885574991,7.625301199668272,0.2429515996351588,1.0,0.0,31.47,0.16643316977093225,102.81900699990122,2.259603645739664,3.033333333333333,0.04163331998932269
V96_rho0p01_sl6,proposed_full,DCEE-V96_rho0p01_sl6,3,1.9085661272166943,0.061758984529440814,131.08360095310616,51.33241166115416,11.326666666666668,0.7640753307829742,1.9926910617608709,0.3723059853978275,518.6255555555556,36.58911136349685,82.42568679467274,13.111496342349977,7.537166962850872,0.24957484705282396,1.0,0.0,36.79666666666667,2.8031470409761488,120.8250676667376,7.084423409801603,5.033333333333333,0.041633319989322765
V96_rho0p005_sl4,proposed_full,DCEE-V96_rho0p005_sl4,3,1.910941635552791,0.060193738270091696,136.4599473841185,69.55745388482634,11.611111111111109,0.7387251280515738,1.9951149438371676,0.3057813478622024,529.3055555555557,42.01650632434475,82.29864968272521,12.267462737859647,7.4757131346002685,0.3110769552089597,1.0,0.0,33.53333333333334,6.99218373137701,106.4044113332299,22.90478069699246,3.0566666666666666,0.03214550253664317
V96_rho0p0025_sl8,proposed_full,DCEE-V96_rho0p0025_sl8,3,1.9134259473580248,0.05729769046908112,130.21121325913992,51.495441876529384,11.611111111111109,0.7387251280515738,1.9982968358546296,0.28072328126242374,529.3055555555557,42.01650632434475,82.8229977576696,12.049851576251077,7.678477845833949,0.32074739570761895,1.0,0.0,37.653333333333336,7.236382613801824,118.06709133350523,23.869515013360594,7.05,0.04358898943540682
V64_rho0p005_sl4,proposed_full,DCEE-V64_rho0p005_sl4,3,1.972115462273462,0.0073445524959482224,159.04867851084057,62.85181390281557,11.523333333333333,0.5741950887982239,1.9124561931344246,0.2607355049758453,511.97555555555556,19.403860536081623,78.5180374469882,11.016827615873057,7.884516838185213,0.30776092095189256,1.0,0.0,28.146666666666665,2.8150725271888346,86.64481733321736,8.914544312537217,3.06,0.055677643628300154
V64_rho0p01_sl4,proposed_full,DCEE-V64_rho0p01_sl4,3,1.9758187732244907,0.010012056475700859,167.4898606564206,64.67420981752304,11.523333333333333,0.5741950887982239,1.9007091748605263,0.2730277114022416,511.97555555555556,19.403860536081623,78.44340726943979,11.010486428168683,8.024509693156665,0.2506540654847302,1.0,0.0,28.21666666666667,3.1010535844021354,91.38286433311198,8.976649394021491,3.03,0.034641016151377574
V64_rho0p005_sl8,proposed_full,DCEE-V64_rho0p005_sl8,3,1.9769349783679775,0.0019596071425488394,162.25242754992124,62.48076189676778,11.154444444444444,0.8336688213575595,1.9503854242332983,0.2585652046355255,497.58666666666676,30.755544938180588,79.56064960192693,10.798924141786566,7.988948260128048,0.2829299320395857,1.0,0.0,41.31,4.473354446050528,129.20114699964566,16.761926191605035,7.053333333333334,0.04725815626252608
V64_rho0p005_sl6,proposed_full,DCEE-V64_rho0p005_sl6,3,1.9775987226570537,0.003691097981513684,155.54525012523868,62.44763773723852,11.354444444444445,0.8510799240006985,1.9392069521113866,0.2546790236217965,502.02000000000004,28.13344174544676,79.33928678143673,10.50776938122368,8.007200995682789,0.3743019930351745,1.0,0.0,36.02333333333333,6.853388456328252,112.77668833325151,23.025276252382557,5.06,0.05567764362830039
