slot,seed,profile,method,finite_gap,method_label,running_mean_finite_gap
66,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,36.91104560569226
67,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,36.3682361114909
68,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,35.84116022581712
69,1000,balanced,anchored_mobility,2.3158583348636057,Anchored-Mobility,35.36222734166064
70,1000,balanced,anchored_mobility,1.900799389636859,Anchored-Mobility,34.89093962402651
71,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,34.40634324035947
72,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,33.93502346994359
73,1000,balanced,anchored_mobility,3.713962581999567,Anchored-Mobility,33.526630755241634
74,1000,balanced,anchored_mobility,0.0023900693586256,Anchored-Mobility,33.07964087942986
75,1000,balanced,anchored_mobility,0.3362602637081409,Anchored-Mobility,32.648806923959846
76,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,32.224796444427895
77,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,31.811658028473694
78,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,31.408978812923394
79,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,31.01636657776185
80,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,30.633448471863556
81,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,30.25986983196278
82,1000,balanced,anchored_mobility,0.4517824033423494,Anchored-Mobility,29.900736248485426
83,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,29.544775102670126
84,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,29.19718951322695
85,1000,balanced,anchored_mobility,10.042747079656236,Anchored-Mobility,28.974463438417985
86,1000,balanced,anchored_mobility,0.0349573952292985,Anchored-Mobility,28.64182543792156
87,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,28.31635014885427
88,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,27.998188911226695
89,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,27.687097923324174
90,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,27.38284409999094
91,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,27.085204490208433
92,1000,balanced,anchored_mobility,2.7613744930224584,Anchored-Mobility,26.823657931098907
93,1000,balanced,anchored_mobility,8.29596373311415,Anchored-Mobility,26.62655480133311
94,1000,balanced,anchored_mobility,3.1056976287813995,Anchored-Mobility,26.378966831095724
95,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,26.104185926605144
96,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,25.835070607774163
97,1000,balanced,anchored_mobility,9.43864008420178,Anchored-Mobility,25.667760092227507
98,1000,balanced,anchored_mobility,7.275569322445335,Anchored-Mobility,25.48198038748223
99,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,25.22716058360741
100,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,24.977386716442982
101,1000,balanced,anchored_mobility,4.123507326954041,Anchored-Mobility,24.772936918506815
102,1000,balanced,anchored_mobility,6.324983744767451,Anchored-Mobility,24.5938305770142
103,1000,balanced,anchored_mobility,3417.057742075493,Anchored-Mobility,57.213675879884185
104,1000,balanced,anchored_mobility,3547.960917606166,Anchored-Mobility,90.45888770584878
105,1000,balanced,anchored_mobility,8.374390483746538,Anchored-Mobility,89.68450565658367
106,1000,balanced,anchored_mobility,23.12957941841978,Anchored-Mobility,89.06249700015222
107,1000,balanced,anchored_mobility,118.05890134765286,Anchored-Mobility,89.33098222559204
108,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,88.51143192994441
109,1000,balanced,anchored_mobility,34.89113503990484,Anchored-Mobility,88.0239746854895
110,1000,balanced,anchored_mobility,770.3547881418235,Anchored-Mobility,94.17109913104206
111,1000,balanced,anchored_mobility,3.286703786427097,Anchored-Mobility,93.35963131546514
112,1000,balanced,anchored_mobility,3017.8763119558225,Anchored-Mobility,119.24030990520282
113,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,118.19434227445542
114,1000,balanced,anchored_mobility,3152.824654204412,Anchored-Mobility,144.58243194341156
115,1000,balanced,anchored_mobility,15.869105871143802,Anchored-Mobility,143.47283430485754
116,1000,balanced,anchored_mobility,43.30414407901117,Anchored-Mobility,142.61669165335456
117,1000,balanced,anchored_mobility,18.42780046014923,Anchored-Mobility,141.5642434229037
118,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,140.37462793195493
119,1000,balanced,anchored_mobility,27.83044652132412,Anchored-Mobility,139.43675975353298
120,1000,balanced,anchored_mobility,27.47694914340309,Anchored-Mobility,138.51147206254018
121,1000,balanced,anchored_mobility,0.240558241659528,Anchored-Mobility,137.37810391646738
122,1000,balanced,anchored_mobility,0.2607946055591128,Anchored-Mobility,136.26332904402096
123,1000,balanced,anchored_mobility,0.1308614785730242,Anchored-Mobility,135.16548656365447
124,1000,balanced,anchored_mobility,7.0909273834381565,Anchored-Mobility,134.14089009021274
125,1000,balanced,anchored_mobility,7.006766827077172,Anchored-Mobility,133.13188911193387
126,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,132.08360652050132
127,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,131.0517033445599
128,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,130.0357986674703
129,1000,balanced,anchored_mobility,1.5710948938949514,Anchored-Mobility,129.0476086384428
130,1000,balanced,anchored_mobility,14.41210655330906,Anchored-Mobility,128.172528469854
131,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,127.2015244662945
132,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,126.2451220266983
133,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,125.30299425037965
134,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,124.37482392259906
135,1000,balanced,anchored_mobility,7.281378344458972,Anchored-Mobility,123.51384270511274
136,1000,balanced,anchored_mobility,2.8098894427675987,Anchored-Mobility,122.632791951373
137,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,121.7441485314355
138,1000,balanced,anchored_mobility,13.576790622923,Anchored-Mobility,120.965966100439
139,1000,balanced,anchored_mobility,4.2640737961464765,Anchored-Mobility,120.13238115540837
140,1000,balanced,anchored_mobility,5.940209959997446,Anchored-Mobility,119.32250760083097
141,1000,balanced,anchored_mobility,4.119100273841468,Anchored-Mobility,118.51121599993668
142,1000,balanced,anchored_mobility,4.117246708381572,Anchored-Mobility,117.71125817272302
143,1000,balanced,anchored_mobility,0.4706901228983042,Anchored-Mobility,116.89708756126589
144,1000,balanced,anchored_mobility,0.3677376946452568,Anchored-Mobility,116.09343687253059
145,1000,balanced,anchored_mobility,0.1301206612333771,Anchored-Mobility,115.29916758341211
146,1000,balanced,anchored_mobility,7.079365107267222,Anchored-Mobility,114.56297845092132
147,1000,balanced,anchored_mobility,9.190022943475924,Anchored-Mobility,113.85099902181696
148,1000,balanced,anchored_mobility,25.107596398182068,Anchored-Mobility,113.25540571561808
149,1000,balanced,anchored_mobility,46.25891634225627,Anchored-Mobility,112.80876245312899
150,1000,balanced,anchored_mobility,1.535825420953188,Anchored-Mobility,112.07185558536624
151,1000,balanced,anchored_mobility,316.83876803435487,Anchored-Mobility,113.41900632516221
152,1000,balanced,anchored_mobility,565.399980224538,Anchored-Mobility,116.37313033757644
153,1000,balanced,anchored_mobility,32.15073451041462,Anchored-Mobility,115.82623166337409
154,1000,balanced,anchored_mobility,7.630374469936214,Anchored-Mobility,115.12819387502932
155,1000,balanced,anchored_mobility,0.1005503492306161,Anchored-Mobility,114.39083718576138
156,1000,balanced,anchored_mobility,68.33918738089778,Anchored-Mobility,114.09751457553934
157,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,113.37537840733971
158,1000,balanced,anchored_mobility,41.5858509754471,Anchored-Mobility,112.9238719455039
159,1000,balanced,anchored_mobility,62.96716034850033,Anchored-Mobility,112.61164249802263
160,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,111.91219130238275
161,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,111.22137530668903
162,1000,balanced,anchored_mobility,93.97625044508824,Anchored-Mobility,111.11557699465466
163,1000,balanced,anchored_mobility,39.83548330828853,Anchored-Mobility,110.68094227705487
164,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,110.01014868749697
165,1000,balanced,anchored_mobility,2.928948806365952,Anchored-Mobility,109.36508121833353
166,1000,balanced,anchored_mobility,12.085392457274793,Anchored-Mobility,108.78256811197987
167,1000,balanced,anchored_mobility,6.080611389679689,Anchored-Mobility,108.17124694101379
168,1000,balanced,anchored_mobility,9.861734147978495,Anchored-Mobility,107.5895338475639
169,1000,balanced,anchored_mobility,2.120283081021625,Anchored-Mobility,106.96912649011364
170,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,106.34357604280304
171,1000,balanced,anchored_mobility,10.486766502453976,Anchored-Mobility,105.78626901059171
172,1000,balanced,anchored_mobility,4.048402069485746,Anchored-Mobility,105.19818885486276
173,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,104.59360156259345
174,1000,balanced,anchored_mobility,18.54124995237362,Anchored-Mobility,104.10187383910647
175,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,103.51038591956609
176,1000,balanced,anchored_mobility,11.528380290612404,Anchored-Mobility,102.99071357137991
177,1000,balanced,anchored_mobility,72.58186349921743,Anchored-Mobility,102.81987733501946
178,1000,balanced,anchored_mobility,6.0483148756866285,Anchored-Mobility,102.2792540810567
179,1000,balanced,anchored_mobility,26.731457718142337,Anchored-Mobility,101.85954410126273
180,1000,balanced,anchored_mobility,3.4058905016026984,Anchored-Mobility,101.31560126369556
181,1000,balanced,anchored_mobility,6.160383015412663,Anchored-Mobility,100.7927703941995
182,1000,balanced,anchored_mobility,19.80462896516292,Anchored-Mobility,100.35021224431404
183,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,99.80483065602972
184,1000,balanced,anchored_mobility,69.37125298043611,Anchored-Mobility,99.64032483075624
185,1000,balanced,anchored_mobility,63.818825811118586,Anchored-Mobility,99.44773612634958
186,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,98.9159300508076
187,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,98.38978148670756
188,1000,balanced,anchored_mobility,114.77181250821376,Anchored-Mobility,98.47645889951977
189,1000,balanced,anchored_mobility,7.209823364242766,Anchored-Mobility,97.9961081861762
190,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,97.48303955692921
191,1000,balanced,anchored_mobility,116.68209437507176,Anchored-Mobility,97.58303463410704
192,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,97.07742305569198
193,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,96.57702396777604
194,1000,balanced,anchored_mobility,72.73542912182165,Anchored-Mobility,96.45475937882243
