profile,method,method_label,num_seeds,slots_per_seed,mean_real_backlog,final_real_backlog_mean,mean_virtual_backlog,final_virtual_backlog_mean,mean_penalty,mean_running_penalty_final,mean_aoi_excess,mean_uncertainty_excess,mean_travel,solver_success_rate,mean_runtime_ms
balanced,proposed_full,DCEE,10,200,237.92853838886285,180.94386643567069,3615.8959492705612,7255.9762257080365,2.204573616488696,2.2045736164886964,11.2355,1.5564314891077748,8.470626978893538,1.0,143.55589719996985
balanced,full_candidate_exact,FC-Common,10,200,251.10769109394664,199.8866388555251,3624.4987038037384,7281.675622081435,2.2153576805225565,2.2153576805225565,11.274166666666666,1.5358449634586115,9.032300311261148,1.0,146.52499809998426
balanced,anchored_mobility,Anchored-Mobility,10,200,241.3411096229525,188.41282500515666,3604.650760507971,7216.271129210184,2.194289555884364,2.194289555884364,11.173166666666667,1.5493359182192903,8.534054661826792,1.0,27.013372050003454
balanced,static_uav,Static-Hovering,10,200,505.2350721675365,771.1000512595132,4773.579682317475,10369.291901442959,1.9711137716907323,1.9711137716907328,13.651666666666667,3.6681475797065564,0.0,1.0,10.402553399984754
balanced,freshness_priority,Freshness-Priority,10,200,677.8527126957875,1339.7367103843571,3609.4519631798435,7240.258883910019,2.153963054090736,2.153963054090736,11.186833333333334,1.5638186683279518,8.352971794792449,1.0,51.22653074999198
