baseline,comparison,metric,paired_diff_mean_dcee_minus_other,paired_diff_std,bootstrap_ci_low,bootstrap_ci_high,dcee_mean,other_mean,relative_reduction_when_positive,num_paired_seeds
DCEE-tuned,DCEE-default,total_penalty,-0.15344447455340765,0.10508634894369959,-0.2232316173817954,-0.10426091309561278,2.048910793608436,2.2023552681618432,0.06967289827016732,10
DCEE-tuned,DCEE-default,queue_backlog,-49.745801438853285,80.71355726904322,-97.19124530562738,-2.5385691222913676,169.15609100414937,218.90189244300268,0.2272515823580924,10
DCEE-tuned,DCEE-default,aoi_violation,0.6101666666666672,1.0742250867658212,0.09366666666666709,1.3311833333333338,12.221833333333333,11.611666666666666,-0.052547724989234934,10
DCEE-tuned,DCEE-default,uncertainty_violation,0.47925467428321833,0.9363042097382077,0.05701788616771687,1.117793995565165,2.0770958751990185,1.5978412009158,-0.299938863767272,10
DCEE-tuned,DCEE-default,travel_distance,-0.9489232588968466,1.6222613347699417,-2.0349187745789648,-0.1688130117606529,7.072086395750837,8.021009654647685,0.11830471471219395,10
DCEE-tuned,DDPG-Mobility-Exact,total_penalty,-0.08488169643868815,0.1339006223909804,-0.17343931654587547,-0.021163365175040486,2.048910793608436,2.133792490047124,0.03977973342516227,10
DCEE-tuned,DDPG-Mobility-Exact,queue_backlog,-352.975968004063,125.52718810811453,-423.8171230162685,-277.15946469209,169.15609100414937,522.1320590082124,0.6760281463554246,10
DCEE-tuned,DDPG-Mobility-Exact,aoi_violation,-1.6535000000000006,1.0256420602736958,-2.2330458333333345,-1.0442916666666675,12.221833333333333,13.875333333333334,0.1191683082688705,10
DCEE-tuned,DDPG-Mobility-Exact,uncertainty_violation,-1.6196657411182662,0.7489695079915961,-2.0215745880286673,-1.1571583633755913,2.0770958751990185,3.6967616163172847,0.4381309668357187,10
DCEE-tuned,DDPG-Mobility-Exact,travel_distance,3.3796207231890456,2.131921774640231,2.0448363969448273,4.52997102505446,7.072086395750837,3.6924656725617915,-0.9152747846249584,10
DCEE-tuned,PPO-Mobility-Exact,total_penalty,-0.06396929125692538,0.10149205617911361,-0.12980308727932982,-0.011516959212414758,2.048910793608436,2.1128800848653615,0.030275874014403285,10
DCEE-tuned,PPO-Mobility-Exact,queue_backlog,-330.8600875008441,134.21297899533812,-405.6819898623022,-250.2937040810544,169.15609100414937,500.0161785049935,0.6616987644081599,10
DCEE-tuned,PPO-Mobility-Exact,aoi_violation,-1.387333333333334,0.7737615353455147,-1.8413666666666682,-0.9357666666666677,12.221833333333333,13.609166666666667,0.10194109362562005,10
DCEE-tuned,PPO-Mobility-Exact,uncertainty_violation,-1.3442888470615835,0.7030588601088251,-1.7540890343789184,-0.933757931295876,2.0770958751990185,3.421384722260602,0.3929078300710291,10
DCEE-tuned,PPO-Mobility-Exact,travel_distance,5.611527759456822,1.469222774711678,4.741342221085991,6.438524403926928,7.072086395750837,1.460558636294015,-3.842042092671727,10
DCEE-tuned,SAC-Mobility-Exact,total_penalty,-0.057976732624729556,0.09403529685987597,-0.12011762782987073,-0.01141292358966816,2.048910793608436,2.106887526233165,0.027517716016091095,10
DCEE-tuned,SAC-Mobility-Exact,queue_backlog,-354.105972579268,113.75072831942154,-417.950013458578,-284.9090814434649,169.15609100414937,523.2620635834173,0.676727776048334,10
DCEE-tuned,SAC-Mobility-Exact,aoi_violation,-1.8030000000000002,0.9499187099723624,-2.3626791666666676,-1.2441458333333337,12.221833333333333,14.024833333333333,0.12855767745308921,10
DCEE-tuned,SAC-Mobility-Exact,uncertainty_violation,-1.7802285945814234,0.7987354949181303,-2.231719029893198,-1.302030730702106,2.0770958751990185,3.857324469780442,0.46151901623219,10
DCEE-tuned,SAC-Mobility-Exact,travel_distance,4.610783410656587,1.656217015270425,3.6341028872401187,5.551242392282876,7.072086395750837,2.4613029850942505,-1.8733099657294026,10
