method,method_label,seeds,slots_per_seed,total_penalty_mean,total_penalty_std,queue_backlog_mean,queue_backlog_std,mean_virtual_aoi_queue_mean,mean_virtual_aoi_queue_std,mean_virtual_unc_queue_mean,mean_virtual_unc_queue_std,aoi_violation_mean,aoi_violation_std,uncertainty_violation_mean,uncertainty_violation_std,horizontal_travel_m_mean,horizontal_travel_m_std,vertical_travel_m_mean,vertical_travel_m_std,travel_3d_m_mean,travel_3d_m_std,runtime_ms_mean,runtime_ms_std,solver_success_mean,solver_success_std,solver_nit_mean,solver_nit_std,altitude_candidate_count_mean,altitude_candidate_count_std
DCEE-2D,DCEE-2D,5,100,2.140176374245775,0.060445676825687404,239.35568996287984,30.883698536229158,502.2953333333333,49.78431393967832,73.79475411233466,22.223693547256094,10.788666666666668,1.33761520791461,1.82793300387863,0.4700398315336916,9.55580382153473,0.8266255782259259,0.0,0.0,9.55580382153473,0.8266255782259259,94.25163739992422,18.59556980051627,1.0,0.0,36.111999999999995,3.040200651272872,1.0,0.0
DCEE-3D,DCEE-3D,5,100,2.146491515236895,0.056523990665268004,209.2667737173872,40.117580894371365,488.24733333333336,60.265570943210335,70.07608549802984,23.619436880153042,10.456,1.3971387428121325,1.7713173185835167,0.5047446914266158,9.982287330263105,0.7381404791311695,0.27999999999999997,0.17888543819998315,10.161947416557167,0.6698205089873447,238.0071702000496,23.074747678622384,1.0,0.0,42.94,3.789228153595399,2.0239999999999996,0.008944271909999142
Fixed-h80,Fixed h=80 m,5,100,2.1222304640803067,0.05717580021823536,225.64861181474134,31.45466988230767,502.2453333333333,48.38347391184084,71.6782231286041,23.768927772046514,10.643333333333333,1.4330813732032879,1.793655369042004,0.5050088341357057,9.660536451720748,0.7451150096785187,0.0,0.0,9.660536451720748,0.7451150096785187,112.15881219998118,17.3310691019586,1.0,0.0,41.784000000000006,5.292804549574828,1.0,0.0
Fixed-h100,Fixed h=100 m,5,100,2.140176374245775,0.060445676825687404,239.35568996287984,30.883698536229158,502.2953333333333,49.78431393967832,73.79475411233466,22.223693547256094,10.788666666666668,1.33761520791461,1.82793300387863,0.4700398315336916,9.55580382153473,0.8266255782259259,0.0,0.0,9.55580382153473,0.8266255782259259,88.73712620004517,18.27948005684909,1.0,0.0,36.111999999999995,3.040200651272872,1.0,0.0
Fixed-h120,Fixed h=120 m,5,100,2.1366564019175,0.06267897773118113,270.9051578821738,9.615851756568109,536.8960000000001,37.51942129676901,84.67310589381364,20.3192125725529,11.694666666666667,1.1220284211096336,2.1129047168722113,0.4554376633232195,9.6708399150232,0.9848111880643339,0.0,0.0,9.6708399150232,0.9848111880643339,83.96594939995703,7.741982991243533,1.0,0.0,35.827999999999996,2.7078349284991514,1.0,0.0
