method,num_test_seeds,total_penalty_mean,total_penalty_std,queue_backlog_mean,queue_backlog_std,mean_virtual_aoi_queue_mean,mean_virtual_aoi_queue_std,mean_virtual_unc_queue_mean,mean_virtual_unc_queue_std,aoi_violation_mean,aoi_violation_std,uncertainty_violation_mean,uncertainty_violation_std,travel_distance_mean,travel_distance_std,solver_success_mean,solver_success_std,solver_nit_mean,solver_nit_std,solver_runtime_ms_mean,solver_runtime_ms_std,inference_runtime_ms_mean,inference_runtime_ms_std,reward_mean,reward_std
DCEE-default,10,2.2023552681618432,0.029004285134508007,218.90189244300268,39.803739659862494,1109.7600000000002,84.30622122014337,125.50633611572007,64.2919356679899,11.611666666666666,0.7377359425889823,1.5978412009158,0.5122908853551323,8.021009654647685,1.038872496198427,1.0,0.0,47.425,4.301741249514872,170.15704595007264,27.217614033035805,170.15704595007264,27.217614033035805,,
DCEE-tuned,10,2.048910793608436,0.11918298456871598,169.15609100414937,82.00764598796465,1173.3229999999999,103.64082609583527,174.30092131634174,86.65823901288364,12.221833333333333,0.9603704435731508,2.0770958751990185,0.8297348089850964,7.072086395750837,1.4636357127122106,1.0,0.0,32.202,3.398291400754862,127.53253510013747,23.29076515059104,127.53253510013747,23.29076515059104,,
DDPG-Mobility-Exact,10,2.133792490047124,0.03071959680781987,522.1320590082124,86.56411724132673,1308.2071666666666,66.27094875430934,294.46452030899513,27.770619919087878,13.875333333333334,0.41474058528967184,3.6967616163172847,0.2850285225619616,3.6924656725617915,1.3740382710942023,1.0,0.0,4.653999999999999,2.626505705728092,16.550478699951782,11.075440904770636,0.45400934993085684,0.021485212954625348,-33.025095929759274,1.3860226321305165
PPO-Mobility-Exact,10,2.1128800848653615,0.022618353229088197,500.0161785049935,119.78637317347004,1290.6608333333334,57.948175405877706,278.94584324644813,40.09737002459901,13.609166666666667,0.43268059813215526,3.421384722260602,0.42171372449975686,1.460558636294015,0.6586873395186146,1.0,0.0,6.7095,3.519139296602067,26.01430249994155,15.212595050325193,0.5149922997588874,0.0323122573687428,-32.25682126703994,1.5254871518880997
SAC-Mobility-Exact,10,2.106887526233165,0.03859173476079968,523.2620635834173,76.36656865210999,1334.209166666667,34.4751077872781,317.5831453100708,34.943526919096385,14.024833333333333,0.2854198229076632,3.857324469780442,0.3576989972154202,2.4613029850942505,0.9315281118718398,1.0,0.0,4.444,2.322149148238904,15.381073750002543,9.730995574179657,0.6052969999655033,0.03148704009310897,-33.83309235797438,0.9122997358271249
