method,method_label,num_seeds,slots_per_seed,total_penalty_mean,total_penalty_std,queue_backlog_mean,queue_backlog_std,aoi_violation_mean,aoi_violation_std,uncertainty_violation_mean,uncertainty_violation_std,mean_virtual_aoi_queue_mean,mean_virtual_aoi_queue_std,mean_virtual_unc_queue_mean,mean_virtual_unc_queue_std,travel_distance_mean,travel_distance_std,solver_success_mean,solver_success_std,solver_nit_mean,solver_nit_std,runtime_ms_mean,runtime_ms_std,candidate_family_size_mean,candidate_family_size_std,mechanism_note
proposed_full,DCEE,10,200,2.2024933892690575,0.031391486127796984,249.5506244139066,53.78410132200253,11.557,0.7183768569782677,1.588775008953413,0.3542187431288443,1128.669,46.55822930667403,136.53936752196438,43.54584826823805,8.741363565393396,1.2435319358608583,1.0,0.0,47.11399999999999,3.0440495688765945,140.92865800004074,14.707323941117652,9.963,0.038020462326956696,recourse scoring + exact execution
full_candidate_exact,FC-Common,10,200,2.210849321556578,0.027611285765213975,238.35648022671324,50.60146755771069,11.483,0.7569235165302651,1.5737086171753343,0.3773590721542945,1123.6763333333333,52.231974691021044,135.80327824632118,44.63561772929156,9.187927175655842,1.2399200290399104,1.0,0.0,52.87199999999999,4.235054899289972,156.1619999499726,19.298921117035007,16.9905,0.039542522821781646,common finite family
anchored_mobility,Anchored-Mobility,10,200,2.2001816658394833,0.029085242690996504,283.62088890772077,67.16625179733123,11.461333333333332,0.807959172663667,1.5559270860413954,0.3834964652655828,1124.5755,55.88945551982474,133.95717631112774,44.641562977441886,8.785834033500882,1.3177040995013112,1.0,0.0,7.945,1.1284896494380838,24.464815449990056,4.015908938969768,16.987500000000004,0.042963162515500426,anchored mobility score
regularized_execution,Regularized-Execution,10,200,2.332313887810706,0.026446311983598834,314.26789385783746,83.20961269397775,11.422833333333333,0.7590572653619521,1.4998255582472364,0.4426025484576617,1100.9711666666667,52.55993707393546,124.73611939414982,50.87740991560306,14.751432756982746,0.1118185215171183,1.0,0.0,23.5935,2.5326436012813005,68.27485775001514,6.913615171746925,1.0,0.0,regularized direct execution
