variant,method,method_label,num_seeds,total_penalty_mean,total_penalty_std,queue_backlog_mean,queue_backlog_std,aoi_violation_mean,aoi_violation_std,uncertainty_violation_mean,uncertainty_violation_std,mean_virtual_aoi_queue_mean,mean_virtual_aoi_queue_std,mean_virtual_unc_queue_mean,mean_virtual_unc_queue_std,travel_distance_mean,travel_distance_std,solver_success_mean,solver_success_std,solver_nit_mean,solver_nit_std,runtime_ms_mean,runtime_ms_std,candidate_family_size_mean,candidate_family_size_std
V96_rho0p0025_sl4,proposed_full,DCEE-V96_rho0p0025_sl4,5,1.9084625846870438,0.28880343479627174,287.6094516944505,163.65394971657267,12.594999999999999,0.9400169915721978,2.4727483502896543,1.2069560346556145,1229.5026666666665,127.32521340602145,229.99026634571842,118.06660111408745,6.4130805920039275,2.6303596568887766,1.0,0.0,28.598000000000003,4.771947453608431,85.2324426000414,22.243386694644258,3.0789999999999997,0.1360330842111579
V96_rho0p0025_sl6,proposed_full,DCEE-V96_rho0p0025_sl6,5,1.9087589822439213,0.288407945076365,285.393017066417,165.07742829887135,12.594999999999999,0.9400169915721978,2.472509867358756,1.2086950843830646,1229.5026666666665,127.32521340602145,229.81521270576928,118.00592470967563,6.516939630396934,2.674186037854627,1.0,0.0,34.586,4.932698804913998,104.3302678000764,23.927659040866764,5.079,0.1360330842111581
V96_rho0p01_sl8,proposed_full,DCEE-V96_rho0p01_sl8,5,1.909561974926273,0.28951983876082077,285.4843094147924,163.72793905179708,12.61,0.9173891092539622,2.450942109196768,1.2267126113703277,1227.4099999999999,122.12619264742337,226.6738210232599,121.05022593413935,6.438437093330149,2.752774630685459,1.0,0.0,37.949,6.1217495456772815,116.91322920007951,28.23812506379158,7.089,0.13399626860476388
V96_rho0p005_sl6,proposed_full,DCEE-V96_rho0p005_sl6,5,1.9110863353752272,0.2883988803318547,276.2028375293567,146.23559220906733,12.619333333333334,0.9049306296310479,2.471853192514417,1.229201884766776,1227.4826666666668,122.06000952172849,230.35782718524337,118.35937062278947,6.558068874905365,2.6264989104844614,1.0,0.0,35.963,3.038479471709492,112.2525143998937,19.345155864101326,5.097,0.12482988424251641
V96_rho0p005_sl8,proposed_full,DCEE-V96_rho0p005_sl8,5,1.917869844613677,0.25973026518295633,232.44362069829035,96.00510880053292,12.507333333333332,0.8536649746176116,2.3620202522918827,1.1464763264762632,1218.9566666666665,112.99462012144167,222.06762644438453,113.64172050010983,6.836939062738357,2.2303067861270307,1.0,0.0,40.797000000000004,3.6220653638497473,135.2758356000195,18.380882461492735,7.096000000000001,0.12546911970680294
